,bigrams,counts
456,"('clean', 'best')",3
457,"('best', 'subs')",3
458,"('sandwich', 'never')",3
459,"('go', 'really')",3
460,"('said', 'something')",3
461,"('location', 'open')",3
462,"('location', 'drive')",3
463,"('back', 'one')",3
464,"('take', 'sandwich')",3
465,"('20', 'minutes')",3
466,"('minutes', 'order')",3
467,"('sub', 'cold')",3
468,"('ordered', 'small')",3
469,"('i', 'love')",3
470,"('two', 'employees')",3
471,"('wait', 'time')",3
472,"('place', 'always')",3
473,"('made', 'right')",3
474,"('well', 'kept')",3
475,"('subs', 'great')",3
476,"('though', 'bit')",3
477,"('really', 'really')",3
478,"('delivery', 'order')",3
479,"('worse', 'subway')",3
480,"('hook', 'ladder')",3
481,"('bacon', 'ranch')",3
482,"('subs', 'good')",3
483,"('new', 'york')",3
484,"('stars', 'service')",3
485,"('keep', 'good')",3
486,"('airport', 'food')",3
487,"('sandwich', 'without')",3
488,"('huge', 'fan')",3
489,"('service', 'ever')",3
490,"('know', 'order')",3
491,"('one', 'quite')",3
492,"('quite', 'clean')",3
493,"('fresh', ""i've"")",3
494,"('always', 'count')",3
495,"('sure', ""i'd"")",3
496,"('amount', 'time')",3
497,"('visited', ""i've"")",3
498,"('impressed', 'service')",3
499,"('still', 'go')",3
500,"('part', 'experience')",3
501,"('2', 'minutes')",3
502,"('run', 'back')",3
503,"('would', 'like')",3
504,"('-', 'great')",3
505,"('really', 'care')",3
506,"('food', 'price')",3
507,"('extra', 'mile')",3
508,"('food', 'places')",3
509,"('way', 'eat')",3
510,"('fresh', 'delicious')",3
511,"('club', 'sub')",3
512,"('cold', 'sub')",3
513,"('big', 'kahuna')",3
514,"('4', 'stars')",3
515,"('phone', 'number')",3
516,"('love', 'firehouse')",3
517,"('ham', 'cheese')",3
518,"('location', 'i')",3
519,"('let', 'know')",3
520,"('get', 'sandwiches')",3
521,"('doors', 'locked')",3
522,"('place', ""i've"")",3
523,"('service', 'place')",3
524,"('bread', 'awesome')",3
525,"('mayo', 'lettuce')",3
526,"('order', 'one')",3
527,"('back', 'location')",3
528,"('hot', 'sauce')",3
529,"('time', 'ordered')",3
530,"('sub', 'one')",3
531,"('little', 'extra')",3
532,"('three', 'sandwiches')",3
533,"('wait', 'line')",3
534,"(""i've"", 'eaten')",3
535,"('food', 'go')",3
536,"('get', '2')",3
537,"('subway', 'store')",3
538,"('staff', 'good')",3
539,"('breakfast', 'flatbread')",3
540,"('sandwich', 'look')",3
541,"('also', 'always')",3
542,"('something', 'wrong')",3
543,"('something', 'else')",3
544,"('subway', 'subs')",3
545,"('chicken', 'teriyaki')",3
546,"('tasted', 'like')",3
547,"('cancel', 'order')",3
548,"('order', 'said')",3
549,"('order', 'lunch')",3
550,"('never', 'heard')",3
551,"('way', 'way')",3
552,"('usually', 'like')",3
553,"('honey', 'mustard')",3
554,"('mikes', 'way')",3
555,"('next', 'door')",3
556,"('another', 'try')",3
557,"('today', 'ordered')",3
558,"('average', 'subway')",3
559,"('item', 'menu')",3
