,0
crazy,32
properly,32
size,32
throw,32
Nothing,32
touch,32
Two,32
process,32
toast,32
acted,32
footlongs,32
explained,32
met,32
delivery,32
Ordered,32
Johns,32
missing,32
Customer,32
including,32
baked,32
Go,32
carry,31
male,31
spicy,31
brown,31
Please,31
shouldnt,31
crowd,31
save,31
rang,31
discount,31
general,31
yelled,31
toaster,31
tax,31
music,31
Overall,31
skimpy,31
chocolate,31
Walmart,31
apart,31
none,31
skimp,31
overall,31
highly,31
Indian,31
despite,30
mostly,30
herb,30
began,30
replied,30
personal,30
bother,30
sloppy,30
named,30
EVER,30
patient,30
exact,30
truly,30
weird,30
clear,30
greet,30
convenience,30
dude,30
vinegar,30
cleanest,30
wall,30
support,30
stingy,30
specific,30
sort,30
youve,30
complete,30
Since,30
notice,30
forever,29
explain,29
realize,29
bottle,29
cool,29
handle,29
cent,29
opinion,29
craving,29
Love,29
neighborhood,29
disappointing,29
brought,29
cause,29
damn,29
difficult,29
generally,29
visiting,29
gas,29
coworker,29
knife,28
boy,28
mall,28
nose,28
watch,28
pointed,28
angry,28
spend,28
sent,28
handed,28
mood,28
weekend,28
picture,28
wanting,28
although,28
Bread,28
club,28
gon,28
based,28
promotion,28
nearly,28
anyway,28
Nice,28
mobile,28
Friendly,28
happen,28
sense,28
mentioned,28
uncomfortable,28
melt,28
effort,28
mom,28
hello,28
St,28
unfriendly,28
park,27
Everyone,27
welcome,27
seeing,27
voice,27
OK,27
everywhere,27
bell,27
Another,27
hoping,27
note,27
prepare,27
watching,27
youd,27
fly,27
comment,27
coffee,27
serious,27
generous,27
fell,27
fair,27
deserve,27
likely,27
crap,27
begin,27
expected,27
board,27
Asked,27
glad,27
Worst,26
Best,26
Sandwiches,26
forget,26
cleaned,26
count,26
wrapped,26
Sub,26
hurry,26
as,26
basic,26
space,26
apology,26
younger,26
recent,26
decide,26
theyve,26
shut,26
trained,26
Usually,26
checking,26
hey,26
Horrible,26
buck,26
fully,26
Everything,26
im,26
longs,26
realized,26
game,26
hanging,26
keeping,26
closer,26
elsewhere,26
informed,26
Seriously,26
drove,26
yelling,26
McDonalds,25
limited,25
feeling,25
spoke,25
Veggie,25
Manager,25
upon,25
frozen,25
suggest,25
value,25
main,25
assume,25
rolled,25
refuse,25
Apparently,25
buying,25
Last,25
receive,25
bc,25
certainly,25
disrespectful,25
checked,25
unacceptable,25
moment,25
expensive,25
packed,25
additional,25
pull,25
vegetarian,24
manner,24
patron,24
per,24
true,24
argue,24
ownership,24
pleased,24
plan,24
whats,24
calorie,24
confused,24
expecting,24
Chicken,24
allowed,24
lazy,24
previous,24
somewhat,24
addition,24
Subs,24
American,24
joke,24
Next,24
rushed,24
bin,24
excuse,23
Fresh,23
red,23
finger,23
answered,23
deli,23
happens,23
prior,23
level,23
roasted,23
scoop,23
proper,23
complaining,23
sale,23
acknowledge,23
prefer,23
via,23
plain,23
chopped,23
website,23
witnessed,23
managed,23
frequently,23
broken,23
nobody,23
Didnt,23
industry,23
Orleans,23
Publix,23
hoagie,23
inconvenience,22
Yeah,22
par,22
remake,22
quiet,22
