,bigrams,counts
410,"('i', 'also')",14
411,"('this', 'was')",14
412,"('a', 'huge')",14
413,"('trying', 'to')",14
414,"('to', 'put')",14
415,"('of', 'them')",14
416,"('was', 'clean')",14
417,"('very', 'clean')",14
418,"('fact', 'that')",14
419,"('my', 'sub')",14
420,"('seem', 'to')",14
421,"('try', 'to')",14
422,"('had', 'no')",14
423,"('what', 'the')",14
424,"('i', 'really')",14
425,"('never', 'had')",13
426,"('a', 'very')",13
427,"('a', 'better')",13
428,"('be', 'the')",13
429,"('a', 'big')",13
430,"('fan', 'of')",13
431,"('my', 'husband')",13
432,"('employees', 'are')",13
433,"('most', 'of')",13
434,"('first', 'time')",13
435,"('at', 'subway')",13
436,"('the', 'subs')",13
437,"('love', 'their')",13
438,"('in', 'for')",13
439,"('freaky', 'fast')",13
440,"('since', 'i')",13
441,"('store', 'is')",13
442,"('for', 'it')",13
443,"('are', 'friendly')",13
444,"('make', 'it')",13
445,"('go', 'there')",13
446,"('drive', 'through')",13
447,"('went', 'to')",13
448,"('know', 'what')",13
449,"('and', 'said')",13
450,"('get', 'my')",13
451,"('come', 'back')",13
452,"('to', 'pay')",13
453,"('order', 'was')",13
454,"('supposed', 'to')",13
455,"('order', 'the')",13
456,"('the', 'turkey')",13
457,"('used', 'to')",13
458,"('my', 'last')",13
459,"('me', 'to')",13
460,"('during', 'the')",13
461,"('to', 'take')",13
462,"('bread', 'and')",13
463,"('no', 'one')",13
464,"('and', ""it's"")",13
465,"('was', 'just')",13
466,"('lettuce', 'and')",12
467,"('got', 'a')",12
468,"('out', 'the')",12
469,"('so', 'you')",12
470,"('and', 'we')",12
471,"('come', 'here')",12
472,"('less', 'than')",12
473,"('the', 'ingredients')",12
474,"('they', 'make')",12
475,"('a', 'while')",12
476,"('not', 'be')",12
477,"('about', 'it')",12
478,"('even', 'though')",12
479,"('food', 'i')",12
480,"('to', 'come')",12
481,"('any', 'other')",12
482,"('plenty', 'of')",12
483,"('was', 'super')",12
484,"('like', 'it')",12
485,"('across', 'the')",12
486,"('i', 'stopped')",12
487,"('the', 'lunch')",12
488,"('an', 'employee')",12
489,"('they', 'need')",12
490,"('the', 'drive')",12
491,"('other', 'subway')",12
492,"('and', 'there')",12
493,"('and', ""i've"")",12
494,"('sandwich', 'the')",12
495,"('and', 'have')",12
496,"('of', 'bread')",12
497,"('as', 'they')",12
498,"('they', 'always')",12
499,"('get', 'to')",12
500,"('because', 'of')",12
501,"('down', 'the')",12
502,"('than', 'the')",12
503,"('employees', 'were')",12
504,"('i', 'usually')",12
505,"('sub', 'and')",12
506,"('asked', 'if')",12
507,"('but', 'not')",12
508,"('times', 'and')",12
509,"('an', 'hour')",12
510,"('would', 'have')",12
511,"('of', 'meat')",12
512,"('meat', 'and')",12
513,"('while', 'i')",12
514,"('this', 'time')",12
515,"('the', 'person')",12
516,"('how', 'to')",12
517,"('ahead', 'of')",12
518,"('is', 'just')",12
519,"('because', 'the')",12
520,"('to', 'wait')",12
521,"('next', 'to')",12
522,"('friendly', 'staff')",12
523,"('bad', 'experience')",12
524,"('after', 'i')",11
525,"('not', 'to')",11
526,"('it', 'a')",11
527,"('the', 'sub')",11
528,"('too', 'much')",11
529,"('from', 'a')",11
530,"('the', 'end')",11
531,"('end', 'of')",11
532,"('deliver', 'to')",11
533,"('not', 'have')",11
534,"('you', 'to')",11
535,"('by', 'far')",11
536,"('next', 'time')",11
537,"('the', 'past')",11
538,"('are', 'not')",11
539,"('which', 'was')",11
540,"('and', 'that')",11
541,"('the', 'meat')",11
542,"('30', 'minutes')",11
543,"('stopped', 'in')",11
544,"('and', 'if')",11
545,"('i', 'decided')",11
546,"('seems', 'to')",11
547,"('and', 'got')",11
548,"('it', 'comes')",11
549,"('what', 'a')",11
550,"('meatball', 'sub')",11
551,"('because', ""it's"")",11
552,"('i', 'thought')",11
553,"('this', 'store')",11
554,"('employee', 'was')",11
555,"('they', 'also')",11
556,"('i', 'come')",11
557,"('give', 'you')",11
558,"('they', 'would')",11
559,"('lots', 'of')",11
560,"('it', 'i')",11
561,"('told', 'me')",11
562,"('it', 'would')",11
563,"('due', 'to')",11
564,"('off', 'the')",11
565,"('away', 'from')",11
566,"('it', 'has')",11
567,"('like', 'that')",11
568,"('up', 'the')",11
569,"('our', 'order')",11
570,"('hard', 'to')",11
571,"('to', 'use')",11
572,"('best', 'subway')",11
573,"('cheese', 'and')",11
574,"('got', 'to')",11
575,"('and', 'even')",11
576,"('them', 'to')",11
577,"('my', 'lunch')",11
578,"('firehouse', 'subs')",11
579,"('always', 'clean')",11
580,"('working', 'there')",11
581,"(""i've"", 'had')",11
582,"('like', 'this')",11
583,"('a', 'bad')",11
584,"('like', 'to')",11
585,"('was', 'in')",11
586,"('eat', 'at')",11
587,"('the', 'menu')",11
588,"('and', 'no')",11
589,"('they', 'said')",11
590,"('through', 'the')",11
591,"('one', 'is')",10
592,"('home', 'and')",10
593,"('service', 'here')",10
594,"('i', 'guess')",10
595,"('have', 'had')",10
596,"('we', 'have')",10
597,"('where', 'i')",10
598,"('that', 'you')",10
599,"('with', 'all')",10
600,"('very', 'rude')",10
601,"('i', ""wouldn't"")",10
602,"('their', 'sandwiches')",10
603,"('could', 'have')",10
604,"(""don't"", 'like')",10
605,"('is', 'fresh')",10
606,"('needs', 'to')",10
607,"('ordered', 'my')",10
608,"('clean', 'the')",10
609,"('after', 'a')",10
610,"('or', 'the')",10
611,"('the', 'cheese')",10
612,"('went', 'in')",10
613,"('for', 'more')",10
614,"('sandwich', 'place')",10
615,"('today', 'i')",10
616,"('people', 'are')",10
617,"('is', 'really')",10
618,"('and', ""that's"")",10
619,"('want', 'a')",10
620,"('give', 'me')",10
621,"('quality', 'of')",10
622,"('which', 'i')",10
623,"('once', 'a')",10
624,"('ever', 'had')",10
625,"('the', 'entire')",10
626,"('come', 'to')",10
627,"('was', 'fresh')",10
628,"('when', 'we')",10
629,"('of', 'all')",10
630,"('eat', 'here')",10
631,"('here', 'a')",10
632,"('always', 'been')",10
633,"('a', 'cup')",10
634,"('at', 'me')",10
635,"('love', 'this')",10
636,"('that', 'this')",10
637,"('and', 'their')",10
638,"('are', 'great')",10
639,"('far', 'as')",10
640,"('made', 'my')",10
641,"('service', 'i')",10
642,"('into', 'the')",10
643,"('never', 'been')",10
644,"('been', 'in')",10
645,"('restaurant', 'was')",10
646,"('the', 'workers')",10
647,"('was', 'ok')",10
648,"('so', 'many')",10
649,"('i', 'want')",10
650,"('when', 'they')",10
651,"('the', 'meatball')",10
652,"('the', 'woman')",10
653,"('make', 'sure')",10
654,"('i', ""won't"")",10
655,"('up', 'in')",10
656,"('jersey', 'mikes')",10
657,"('they', 'put')",10
658,"('of', 'it')",10
659,"('restaurant', 'is')",10
660,"('on', 'your')",10
661,"('of', 'us')",10
662,"('to', 'pick')",10
663,"('rest', 'of')",10
664,"('one', 'on')",10
665,"('it', 'in')",10
666,"('up', 'to')",10
667,"('fast', 'as')",10
668,"('to', 'subway')",10
669,"('me', 'for')",10
